"","X1","stimulus","context","response","longWord","shortWord","order","workerid","longFreqs","shortFreqs","freqDiff","longSyllables","shortSyllables","syllableDiff","lengthShort","lengthLong","lengthDiff","longAmbs","shortAmbs","ambDiff"
"36",36,"LongShort 39","supp","short","United States","U.S.","shortfirst",1,0.0001824527,0.0001994894,-1.70367e-05,4,2,2,4,13,9,0,2,-2
"37",37,"LongShort 9","neut","long","hippopotamus","hippo","longfirst",1,4.320485e-07,2.539075e-07,1.78141e-07,5,2,3,5,12,7,1,2,-1
"38",38,"LongShort 28","neut","short","laboratory","lab","longfirst",1,1.962259e-05,7.893366e-06,1.1729224e-05,5,1,4,3,10,7,2,1,1
"39",39,"LongShort 3","supp","short","examination","exam","shortfirst",1,4.042473e-05,7.573707e-06,3.2851023e-05,5,2,3,4,11,7,5,1,4
"40",40,"LongShort 1","neut","short","mathematics","math","longfirst",1,1.549296e-05,7.794503e-06,7.698457e-06,4,1,3,4,11,7,1,1,0
"41",41,"LongShort 8","neut","long","refrigerator","fridge","longfirst",2,4.072069e-06,1.790544e-06,2.281525e-06,5,1,4,6,12,6,1,1,0
"42",42,"LongShort 15","neut","long","cockroach","roach","shortfirst",2,4.47114e-07,4.302494e-07,1.68646e-08,2,1,1,5,9,4,1,7,-6
"43",43,"LongShort 32","supp","long","Coca-Cola","Coke","longfirst",2,1.371962e-06,3.273994e-06,-1.902032e-06,4,1,3,4,9,5,0,4,-4
"44",44,"LongShort 27","neut","long","microphone","mic","longfirst",2,3.295621e-06,6.470023e-07,2.6486187e-06,3,1,2,3,10,7,1,0,1
"45",45,"LongShort 16","supp","short","telephone","phone","longfirst",2,2.258073e-05,5.122335e-05,-2.864262e-05,3,1,2,5,9,4,3,4,-1
"46",46,"LongShort 11","supp","long","chimpanzee","chimp","longfirst",2,8.37735e-07,2.823839e-07,5.553511e-07,3,1,2,5,10,5,1,1,0
"47",47,"LongShort 23","supp","long","advertisement","ad","shortfirst",2,5.560162e-06,2.365374e-05,-1.8093578e-05,4,1,3,2,13,11,1,2,-1
"48",48,"LongShort 6","supp","long","photograph","photo","longfirst",2,1.470013e-05,1.544812e-05,-7.4799e-07,3,2,1,5,10,5,3,1,2
"49",49,"LongShort 7","neut","long","fraternity","frat","shortfirst",2,2.587675e-06,2.425691e-07,2.3451059e-06,4,1,3,4,10,6,2,1,1
"50",50,"LongShort 37","supp","short","quadrangle","quad","shortfirst",2,6.720658e-07,6.115861e-07,6.04797e-08,3,1,2,4,10,6,2,4,-2
"51",51,"LongShort 40","supp","long","United Nations","U.N.","longfirst",2,1.669196e-05,2.116058e-06,1.4575902e-05,5,2,3,4,14,10,0,0,0
"52",52,"LongShort 17","neut","long","referee","ref","shortfirst",2,1.367426e-06,1.774963e-06,-4.07537e-07,3,1,2,3,7,4,5,1,4
"53",53,"LongShort 35","neut","long","hamburger","burger","longfirst",2,9.038452e-07,7.287587e-07,1.750865e-07,3,2,1,6,9,3,2,2,0
"54",54,"LongShort 36","neut","short","quadriceps","quads","shortfirst",2,5.664211e-07,1.750432e-07,3.913779e-07,3,1,2,5,10,5,1,4,-3
"55",55,"LongShort 30","supp","short","identification","ID","longfirst",2,2.959364e-05,1.134854e-05,1.82451e-05,6,2,4,2,14,12,5,3,2
"56",56,"LongShort 2","supp","short","bicycle","bike","longfirst",2,4.300801e-06,5.626267e-06,-1.325466e-06,3,1,2,4,7,3,2,3,-1
"57",57,"LongShort 29","neut","long","Labrador","Lab","longfirst",2,1.356475e-06,3.402761e-06,-2.046286e-06,3,1,2,3,8,5,1,1,0
"58",58,"LongShort 14","neut","long","saxophone","sax","shortfirst",2,5.750457e-07,2.952129e-07,2.798328e-07,3,1,2,3,9,6,1,2,-1
"59",59,"LongShort 5","neut","short","memorandum","memo","shortfirst",2,4.190034e-06,3.181543e-06,1.008491e-06,4,2,2,4,10,6,1,1,0
"60",60,"LongShort 38","neut","short","emergency room","ER","shortfirst",2,1.423511e-06,5.256674e-06,-3.833163e-06,5,2,3,2,14,12,0,2,-2
"61",61,"LongShort 9","neut","short","hippopotamus","hippo","longfirst",2,4.320485e-07,2.539075e-07,1.78141e-07,5,2,3,5,12,7,1,2,-1
"62",62,"LongShort 28","neut","short","laboratory","lab","longfirst",2,1.962259e-05,7.893366e-06,1.1729224e-05,5,1,4,3,10,7,2,1,1
"63",63,"LongShort 25","supp","short","gasoline","gas","shortfirst",2,4.94043e-06,5.513792e-05,-5.019749e-05,3,1,2,3,8,5,1,8,-7
"64",64,"LongShort 19","supp","short","kilogram","kilo","shortfirst",2,9.124634e-07,4.576148e-07,4.548486e-07,3,2,1,4,8,4,1,1,0
"65",65,"LongShort 10","supp","short","rhinoceros","rhino","shortfirst",2,7.435356e-07,3.811773e-07,3.623583e-07,4,2,2,5,10,5,1,1,0
"66",66,"LongShort 33","supp","long","milkshake","shake","longfirst",2,1.358045e-07,1.406508e-05,-1.39292755e-05,2,1,1,5,9,4,1,15,-14
"67",67,"LongShort 39","neut","long","United States","U.S.","shortfirst",2,0.0001824527,0.0001994894,-1.70367e-05,4,2,2,4,13,9,0,2,-2
"68",68,"LongShort 1","neut","short","mathematics","math","shortfirst",2,1.549296e-05,7.794503e-06,7.698457e-06,4,1,3,4,11,7,1,1,0
"69",69,"LongShort 21","neut","short","television","TV","shortfirst",2,3.935501e-05,2.830579e-05,1.104922e-05,4,2,2,2,10,8,3,2,1
"70",70,"LongShort 13","supp","short","limousine","limo","shortfirst",2,9.800227e-07,9.200223e-07,6.00003999999999e-08,3,2,1,4,9,5,1,1,0
"71",71,"LongShort 3","neut","short","examination","exam","shortfirst",2,4.042473e-05,7.573707e-06,3.2851023e-05,5,2,3,4,11,7,5,1,4
"72",72,"LongShort 18","neut","long","undergraduate","undergrad","longfirst",2,5.726067e-06,1.413678e-07,5.5846992e-06,5,3,2,9,13,4,1,1,0
"73",73,"LongShort 4","supp","short","dormitory","dorm","shortfirst",2,1.470832e-06,1.270794e-06,2.00038e-07,4,1,3,4,9,5,2,1,1
"74",74,"LongShort 34","supp","short","veterinarian","vet","shortfirst",2,1.091765e-06,1.764348e-06,-6.72583e-07,5,1,4,3,12,9,1,6,-5
"75",75,"LongShort 31","supp","long","mayonnaise","mayo","longfirst",2,7.906859e-07,1.730539e-07,6.17632e-07,3,2,1,4,10,6,1,1,0
"76",76,"LongShort 26","neut","long","United Kingdom","U.K.","longfirst",2,1.246354e-05,2.885971e-06,9.577569e-06,5,2,3,4,14,10,0,1,-1
"77",77,"LongShort 12","supp","short","pornography","porn","longfirst",2,3.134869e-06,1.536788e-06,1.598081e-06,4,1,3,4,11,7,1,1,0
"78",78,"LongShort 22","neut","short","carbohydrates","carbs","shortfirst",2,2.852517e-06,4.69424e-07,2.383093e-06,4,1,3,5,13,8,1,0,1
"79",79,"LongShort 20","neut","long","chemotherapy","chemo","longfirst",2,5.419988e-06,5.024421e-07,4.9175459e-06,5,2,3,5,12,7,1,0,1
"80",80,"LongShort 24","supp","short","air conditioning","A/C","shortfirst",2,9.803362e-07,8.118417,-8.1184160196638,5,2,3,3,16,13,0,0,0
"81",81,"LongShort 13","neut","long","limousine","limo","longfirst",3,9.800227e-07,9.200223e-07,6.00003999999999e-08,3,2,1,4,9,5,1,1,0
"82",82,"LongShort 30","neut","short","identification","ID","shortfirst",3,2.959364e-05,1.134854e-05,1.82451e-05,6,2,4,2,14,12,5,3,2
"83",83,"LongShort 34","supp","short","veterinarian","vet","shortfirst",3,1.091765e-06,1.764348e-06,-6.72583e-07,5,1,4,3,12,9,1,6,-5
"84",84,"LongShort 2","supp","long","bicycle","bike","longfirst",3,4.300801e-06,5.626267e-06,-1.325466e-06,3,1,2,4,7,3,2,3,-1
"85",85,"LongShort 38","neut","short","emergency room","ER","shortfirst",3,1.423511e-06,5.256674e-06,-3.833163e-06,5,2,3,2,14,12,0,2,-2
"86",86,"LongShort 29","neut","long","Labrador","Lab","longfirst",3,1.356475e-06,3.402761e-06,-2.046286e-06,3,1,2,3,8,5,1,1,0
"87",87,"LongShort 36","supp","short","quadriceps","quads","shortfirst",3,5.664211e-07,1.750432e-07,3.913779e-07,3,1,2,5,10,5,1,4,-3
"88",88,"LongShort 32","neut","long","Coca-Cola","Coke","shortfirst",3,1.371962e-06,3.273994e-06,-1.902032e-06,4,1,3,4,9,5,0,4,-4
"89",89,"LongShort 20","neut","long","chemotherapy","chemo","longfirst",3,5.419988e-06,5.024421e-07,4.9175459e-06,5,2,3,5,12,7,1,0,1
"90",90,"LongShort 35","supp","long","hamburger","burger","shortfirst",3,9.038452e-07,7.287587e-07,1.750865e-07,3,2,1,6,9,3,2,2,0
"91",91,"LongShort 7","supp","long","fraternity","frat","shortfirst",3,2.587675e-06,2.425691e-07,2.3451059e-06,4,1,3,4,10,6,2,1,1
"92",92,"LongShort 3","supp","short","examination","exam","shortfirst",3,4.042473e-05,7.573707e-06,3.2851023e-05,5,2,3,4,11,7,5,1,4
"93",93,"LongShort 23","neut","long","advertisement","ad","shortfirst",3,5.560162e-06,2.365374e-05,-1.8093578e-05,4,1,3,2,13,11,1,2,-1
"94",94,"LongShort 33","supp","long","milkshake","shake","longfirst",3,1.358045e-07,1.406508e-05,-1.39292755e-05,2,1,1,5,9,4,1,15,-14
"95",95,"LongShort 28","supp","long","laboratory","lab","shortfirst",3,1.962259e-05,7.893366e-06,1.1729224e-05,5,1,4,3,10,7,2,1,1
"96",96,"LongShort 40","supp","long","United Nations","U.N.","shortfirst",3,1.669196e-05,2.116058e-06,1.4575902e-05,5,2,3,4,14,10,0,0,0
"97",97,"LongShort 12","supp","long","pornography","porn","longfirst",3,3.134869e-06,1.536788e-06,1.598081e-06,4,1,3,4,11,7,1,1,0
"98",98,"LongShort 4","neut","short","dormitory","dorm","shortfirst",3,1.470832e-06,1.270794e-06,2.00038e-07,4,1,3,4,9,5,2,1,1
"99",99,"LongShort 1","neut","short","mathematics","math","shortfirst",3,1.549296e-05,7.794503e-06,7.698457e-06,4,1,3,4,11,7,1,1,0
"100",100,"LongShort 21","supp","short","television","TV","shortfirst",3,3.935501e-05,2.830579e-05,1.104922e-05,4,2,2,2,10,8,3,2,1
"101",101,"LongShort 19","supp","short","kilogram","kilo","longfirst",3,9.124634e-07,4.576148e-07,4.548486e-07,3,2,1,4,8,4,1,1,0
"102",102,"LongShort 10","supp","long","rhinoceros","rhino","shortfirst",3,7.435356e-07,3.811773e-07,3.623583e-07,4,2,2,5,10,5,1,1,0
"103",103,"LongShort 18","supp","short","undergraduate","undergrad","shortfirst",3,5.726067e-06,1.413678e-07,5.5846992e-06,5,3,2,9,13,4,1,1,0
"104",104,"LongShort 37","neut","short","quadrangle","quad","longfirst",3,6.720658e-07,6.115861e-07,6.04797e-08,3,1,2,4,10,6,2,4,-2
"105",105,"LongShort 11","supp","long","chimpanzee","chimp","shortfirst",3,8.37735e-07,2.823839e-07,5.553511e-07,3,1,2,5,10,5,1,1,0
"106",106,"LongShort 5","neut","short","memorandum","memo","longfirst",3,4.190034e-06,3.181543e-06,1.008491e-06,4,2,2,4,10,6,1,1,0
"107",107,"LongShort 16","neut","long","telephone","phone","shortfirst",3,2.258073e-05,5.122335e-05,-2.864262e-05,3,1,2,5,9,4,3,4,-1
"108",108,"LongShort 14","supp","long","saxophone","sax","longfirst",3,5.750457e-07,2.952129e-07,2.798328e-07,3,1,2,3,9,6,1,2,-1
"109",109,"LongShort 31","neut","long","mayonnaise","mayo","shortfirst",3,7.906859e-07,1.730539e-07,6.17632e-07,3,2,1,4,10,6,1,1,0
"110",110,"LongShort 26","neut","long","United Kingdom","U.K.","longfirst",3,1.246354e-05,2.885971e-06,9.577569e-06,5,2,3,4,14,10,0,1,-1
"111",111,"LongShort 6","neut","long","photograph","photo","longfirst",3,1.470013e-05,1.544812e-05,-7.4799e-07,3,2,1,5,10,5,3,1,2
"112",112,"LongShort 24","supp","long","air conditioning","A/C","shortfirst",3,9.803362e-07,8.118417,-8.1184160196638,5,2,3,3,16,13,0,0,0
"113",113,"LongShort 15","neut","long","cockroach","roach","longfirst",3,4.47114e-07,4.302494e-07,1.68646e-08,2,1,1,5,9,4,1,7,-6
"114",114,"LongShort 17","neut","long","referee","ref","shortfirst",3,1.367426e-06,1.774963e-06,-4.07537e-07,3,1,2,3,7,4,5,1,4
"115",115,"LongShort 8","neut","long","refrigerator","fridge","longfirst",3,4.072069e-06,1.790544e-06,2.281525e-06,5,1,4,6,12,6,1,1,0
"116",116,"LongShort 9","neut","short","hippopotamus","hippo","longfirst",3,4.320485e-07,2.539075e-07,1.78141e-07,5,2,3,5,12,7,1,2,-1
"117",117,"LongShort 27","neut","long","microphone","mic","shortfirst",3,3.295621e-06,6.470023e-07,2.6486187e-06,3,1,2,3,10,7,1,0,1
"118",118,"LongShort 39","supp","long","United States","U.S.","longfirst",3,0.0001824527,0.0001994894,-1.70367e-05,4,2,2,4,13,9,0,2,-2
"119",119,"LongShort 22","neut","short","carbohydrates","carbs","longfirst",3,2.852517e-06,4.69424e-07,2.383093e-06,4,1,3,5,13,8,1,0,1
"120",120,"LongShort 25","neut","short","gasoline","gas","shortfirst",3,4.94043e-06,5.513792e-05,-5.019749e-05,3,1,2,3,8,5,1,8,-7
"121",121,"LongShort 33","supp","long","milkshake","shake","shortfirst",4,1.358045e-07,1.406508e-05,-1.39292755e-05,2,1,1,5,9,4,1,15,-14
"122",122,"LongShort 23","neut","long","advertisement","ad","longfirst",4,5.560162e-06,2.365374e-05,-1.8093578e-05,4,1,3,2,13,11,1,2,-1
"123",123,"LongShort 15","supp","long","cockroach","roach","shortfirst",4,4.47114e-07,4.302494e-07,1.68646e-08,2,1,1,5,9,4,1,7,-6
"124",124,"LongShort 35","supp","short","hamburger","burger","longfirst",4,9.038452e-07,7.287587e-07,1.750865e-07,3,2,1,6,9,3,2,2,0
"125",125,"LongShort 20","supp","long","chemotherapy","chemo","shortfirst",4,5.419988e-06,5.024421e-07,4.9175459e-06,5,2,3,5,12,7,1,0,1
"126",126,"LongShort 30","supp","short","identification","ID","longfirst",4,2.959364e-05,1.134854e-05,1.82451e-05,6,2,4,2,14,12,5,3,2
"127",127,"LongShort 36","neut","short","quadriceps","quads","longfirst",4,5.664211e-07,1.750432e-07,3.913779e-07,3,1,2,5,10,5,1,4,-3
"128",128,"LongShort 24","supp","long","air conditioning","A/C","longfirst",4,9.803362e-07,8.118417,-8.1184160196638,5,2,3,3,16,13,0,0,0
"129",129,"LongShort 25","neut","short","gasoline","gas","shortfirst",4,4.94043e-06,5.513792e-05,-5.019749e-05,3,1,2,3,8,5,1,8,-7
"130",130,"LongShort 2","neut","short","bicycle","bike","longfirst",4,4.300801e-06,5.626267e-06,-1.325466e-06,3,1,2,4,7,3,2,3,-1
"131",131,"LongShort 11","neut","long","chimpanzee","chimp","longfirst",4,8.37735e-07,2.823839e-07,5.553511e-07,3,1,2,5,10,5,1,1,0
"132",132,"LongShort 13","supp","short","limousine","limo","longfirst",4,9.800227e-07,9.200223e-07,6.00003999999999e-08,3,2,1,4,9,5,1,1,0
"133",133,"LongShort 19","neut","short","kilogram","kilo","shortfirst",4,9.124634e-07,4.576148e-07,4.548486e-07,3,2,1,4,8,4,1,1,0
"134",134,"LongShort 40","neut","long","United Nations","U.N.","shortfirst",4,1.669196e-05,2.116058e-06,1.4575902e-05,5,2,3,4,14,10,0,0,0
"135",135,"LongShort 7","neut","short","fraternity","frat","longfirst",4,2.587675e-06,2.425691e-07,2.3451059e-06,4,1,3,4,10,6,2,1,1
"136",136,"LongShort 38","neut","short","emergency room","ER","longfirst",4,1.423511e-06,5.256674e-06,-3.833163e-06,5,2,3,2,14,12,0,2,-2
"137",137,"LongShort 39","supp","short","United States","U.S.","longfirst",4,0.0001824527,0.0001994894,-1.70367e-05,4,2,2,4,13,9,0,2,-2
"138",138,"LongShort 8","neut","short","refrigerator","fridge","longfirst",4,4.072069e-06,1.790544e-06,2.281525e-06,5,1,4,6,12,6,1,1,0
"139",139,"LongShort 31","supp","long","mayonnaise","mayo","shortfirst",4,7.906859e-07,1.730539e-07,6.17632e-07,3,2,1,4,10,6,1,1,0
"140",140,"LongShort 18","neut","short","undergraduate","undergrad","shortfirst",4,5.726067e-06,1.413678e-07,5.5846992e-06,5,3,2,9,13,4,1,1,0
"141",141,"LongShort 6","supp","short","photograph","photo","shortfirst",4,1.470013e-05,1.544812e-05,-7.4799e-07,3,2,1,5,10,5,3,1,2
"142",142,"LongShort 10","neut","short","rhinoceros","rhino","shortfirst",4,7.435356e-07,3.811773e-07,3.623583e-07,4,2,2,5,10,5,1,1,0
"143",143,"LongShort 22","neut","short","carbohydrates","carbs","longfirst",4,2.852517e-06,4.69424e-07,2.383093e-06,4,1,3,5,13,8,1,0,1
"144",144,"LongShort 4","neut","short","dormitory","dorm","longfirst",4,1.470832e-06,1.270794e-06,2.00038e-07,4,1,3,4,9,5,2,1,1
"145",145,"LongShort 16","neut","long","telephone","phone","longfirst",4,2.258073e-05,5.122335e-05,-2.864262e-05,3,1,2,5,9,4,3,4,-1
"146",146,"LongShort 14","neut","long","saxophone","sax","longfirst",4,5.750457e-07,2.952129e-07,2.798328e-07,3,1,2,3,9,6,1,2,-1
"147",147,"LongShort 32","supp","short","Coca-Cola","Coke","longfirst",4,1.371962e-06,3.273994e-06,-1.902032e-06,4,1,3,4,9,5,0,4,-4
"148",148,"LongShort 1","supp","short","mathematics","math","longfirst",4,1.549296e-05,7.794503e-06,7.698457e-06,4,1,3,4,11,7,1,1,0
"149",149,"LongShort 21","neut","short","television","TV","longfirst",4,3.935501e-05,2.830579e-05,1.104922e-05,4,2,2,2,10,8,3,2,1
"150",150,"LongShort 37","supp","short","quadrangle","quad","shortfirst",4,6.720658e-07,6.115861e-07,6.04797e-08,3,1,2,4,10,6,2,4,-2
"151",151,"LongShort 29","neut","short","Labrador","Lab","longfirst",4,1.356475e-06,3.402761e-06,-2.046286e-06,3,1,2,3,8,5,1,1,0
"152",152,"LongShort 27","neut","short","microphone","mic","shortfirst",4,3.295621e-06,6.470023e-07,2.6486187e-06,3,1,2,3,10,7,1,0,1
"153",153,"LongShort 5","neut","short","memorandum","memo","shortfirst",4,4.190034e-06,3.181543e-06,1.008491e-06,4,2,2,4,10,6,1,1,0
"154",154,"LongShort 26","neut","short","United Kingdom","U.K.","longfirst",4,1.246354e-05,2.885971e-06,9.577569e-06,5,2,3,4,14,10,0,1,-1
"155",155,"LongShort 28","supp","short","laboratory","lab","longfirst",4,1.962259e-05,7.893366e-06,1.1729224e-05,5,1,4,3,10,7,2,1,1
"156",156,"LongShort 34","supp","short","veterinarian","vet","longfirst",4,1.091765e-06,1.764348e-06,-6.72583e-07,5,1,4,3,12,9,1,6,-5
"157",157,"LongShort 3","neut","short","examination","exam","longfirst",4,4.042473e-05,7.573707e-06,3.2851023e-05,5,2,3,4,11,7,5,1,4
"158",158,"LongShort 9","supp","short","hippopotamus","hippo","longfirst",4,4.320485e-07,2.539075e-07,1.78141e-07,5,2,3,5,12,7,1,2,-1
"159",159,"LongShort 12","neut","short","pornography","porn","shortfirst",4,3.134869e-06,1.536788e-06,1.598081e-06,4,1,3,4,11,7,1,1,0
"160",160,"LongShort 17","neut","short","referee","ref","shortfirst",4,1.367426e-06,1.774963e-06,-4.07537e-07,3,1,2,3,7,4,5,1,4
"161",161,"LongShort 31","supp","long","mayonnaise","mayo","longfirst",5,7.906859e-07,1.730539e-07,6.17632e-07,3,2,1,4,10,6,1,1,0
"162",162,"LongShort 12","neut","long","pornography","porn","longfirst",5,3.134869e-06,1.536788e-06,1.598081e-06,4,1,3,4,11,7,1,1,0
"163",163,"LongShort 24","neut","long","air conditioning","A/C","shortfirst",5,9.803362e-07,8.118417,-8.1184160196638,5,2,3,3,16,13,0,0,0
"164",164,"LongShort 13","neut","long","limousine","limo","longfirst",5,9.800227e-07,9.200223e-07,6.00003999999999e-08,3,2,1,4,9,5,1,1,0
"165",165,"LongShort 30","neut","short","identification","ID","shortfirst",5,2.959364e-05,1.134854e-05,1.82451e-05,6,2,4,2,14,12,5,3,2
"166",166,"LongShort 16","neut","long","telephone","phone","longfirst",5,2.258073e-05,5.122335e-05,-2.864262e-05,3,1,2,5,9,4,3,4,-1
"167",167,"LongShort 17","neut","long","referee","ref","shortfirst",5,1.367426e-06,1.774963e-06,-4.07537e-07,3,1,2,3,7,4,5,1,4
"168",168,"LongShort 38","supp","long","emergency room","ER","shortfirst",5,1.423511e-06,5.256674e-06,-3.833163e-06,5,2,3,2,14,12,0,2,-2
"169",169,"LongShort 1","neut","long","mathematics","math","longfirst",5,1.549296e-05,7.794503e-06,7.698457e-06,4,1,3,4,11,7,1,1,0
"170",170,"LongShort 18","neut","short","undergraduate","undergrad","shortfirst",5,5.726067e-06,1.413678e-07,5.5846992e-06,5,3,2,9,13,4,1,1,0
"171",171,"LongShort 23","neut","short","advertisement","ad","shortfirst",5,5.560162e-06,2.365374e-05,-1.8093578e-05,4,1,3,2,13,11,1,2,-1
"172",172,"LongShort 6","neut","short","photograph","photo","shortfirst",5,1.470013e-05,1.544812e-05,-7.4799e-07,3,2,1,5,10,5,3,1,2
"173",173,"LongShort 37","supp","short","quadrangle","quad","shortfirst",5,6.720658e-07,6.115861e-07,6.04797e-08,3,1,2,4,10,6,2,4,-2
"174",174,"LongShort 20","supp","long","chemotherapy","chemo","longfirst",5,5.419988e-06,5.024421e-07,4.9175459e-06,5,2,3,5,12,7,1,0,1
"175",175,"LongShort 3","supp","short","examination","exam","longfirst",5,4.042473e-05,7.573707e-06,3.2851023e-05,5,2,3,4,11,7,5,1,4
"176",176,"LongShort 25","supp","short","gasoline","gas","shortfirst",5,4.94043e-06,5.513792e-05,-5.019749e-05,3,1,2,3,8,5,1,8,-7
"177",177,"LongShort 34","supp","short","veterinarian","vet","shortfirst",5,1.091765e-06,1.764348e-06,-6.72583e-07,5,1,4,3,12,9,1,6,-5
"178",178,"LongShort 14","supp","long","saxophone","sax","longfirst",5,5.750457e-07,2.952129e-07,2.798328e-07,3,1,2,3,9,6,1,2,-1
"179",179,"LongShort 5","supp","short","memorandum","memo","shortfirst",5,4.190034e-06,3.181543e-06,1.008491e-06,4,2,2,4,10,6,1,1,0
