"","X1","stimulus","context","response","longWord","shortWord","order","workerid","longFreqs","shortFreqs","freqDiff","longSyllables","shortSyllables","syllableDiff","lengthShort","lengthLong","lengthDiff","longAmbs","shortAmbs","ambDiff"
"1",1,"LongShort 14","neut","long","saxophone","sax","longfirst",1,5.750457e-07,2.952129e-07,2.798328e-07,3,1,2,3,9,6,1,2,-1
"2",2,"LongShort 31","supp","short","mayonnaise","mayo","longfirst",1,7.906859e-07,1.730539e-07,6.17632e-07,3,2,1,4,10,6,1,1,0
"3",3,"LongShort 33","neut","long","milkshake","shake","shortfirst",1,1.358045e-07,1.406508e-05,-1.39292755e-05,2,1,1,5,9,4,1,15,-14
"4",4,"LongShort 12","neut","long","pornography","porn","shortfirst",1,3.134869e-06,1.536788e-06,1.598081e-06,4,1,3,4,11,7,1,1,0
"5",5,"LongShort 27","supp","long","microphone","mic","longfirst",1,3.295621e-06,6.470023e-07,2.6486187e-06,3,1,2,3,10,7,1,0,1
"6",6,"LongShort 10","neut","long","rhinoceros","rhino","shortfirst",1,7.435356e-07,3.811773e-07,3.623583e-07,4,2,2,5,10,5,1,1,0
"7",7,"LongShort 18","supp","short","undergraduate","undergrad","shortfirst",1,5.726067e-06,1.413678e-07,5.5846992e-06,5,3,2,9,13,4,1,1,0
"8",8,"LongShort 35","neut","short","hamburger","burger","longfirst",1,9.038452e-07,7.287587e-07,1.750865e-07,3,2,1,6,9,3,2,2,0
"9",9,"LongShort 5","supp","short","memorandum","memo","shortfirst",1,4.190034e-06,3.181543e-06,1.008491e-06,4,2,2,4,10,6,1,1,0
"10",10,"LongShort 38","neut","long","emergency room","ER","longfirst",1,1.423511e-06,5.256674e-06,-3.833163e-06,5,2,3,2,14,12,0,2,-2
"11",11,"LongShort 40","supp","long","United Nations","U.N.","shortfirst",1,1.669196e-05,2.116058e-06,1.4575902e-05,5,2,3,4,14,10,0,0,0
"12",12,"LongShort 34","neut","short","veterinarian","vet","longfirst",1,1.091765e-06,1.764348e-06,-6.72583e-07,5,1,4,3,12,9,1,6,-5
"13",13,"LongShort 23","neut","short","advertisement","ad","longfirst",1,5.560162e-06,2.365374e-05,-1.8093578e-05,4,1,3,2,13,11,1,2,-1
"14",14,"LongShort 11","neut","short","chimpanzee","chimp","shortfirst",1,8.37735e-07,2.823839e-07,5.553511e-07,3,1,2,5,10,5,1,1,0
"15",15,"LongShort 37","supp","short","quadrangle","quad","longfirst",1,6.720658e-07,6.115861e-07,6.04797e-08,3,1,2,4,10,6,2,4,-2
"16",16,"LongShort 20","neut","long","chemotherapy","chemo","longfirst",1,5.419988e-06,5.024421e-07,4.9175459e-06,5,2,3,5,12,7,1,0,1
"17",17,"LongShort 15","neut","long","cockroach","roach","shortfirst",1,4.47114e-07,4.302494e-07,1.68646e-08,2,1,1,5,9,4,1,7,-6
"18",18,"LongShort 25","supp","short","gasoline","gas","longfirst",1,4.94043e-06,5.513792e-05,-5.019749e-05,3,1,2,3,8,5,1,8,-7
"19",19,"LongShort 4","supp","short","dormitory","dorm","shortfirst",1,1.470832e-06,1.270794e-06,2.00038e-07,4,1,3,4,9,5,2,1,1
"20",20,"LongShort 13","neut","short","limousine","limo","longfirst",1,9.800227e-07,9.200223e-07,6.00003999999999e-08,3,2,1,4,9,5,1,1,0
"21",21,"LongShort 36","neut","short","quadriceps","quads","longfirst",1,5.664211e-07,1.750432e-07,3.913779e-07,3,1,2,5,10,5,1,4,-3
"22",22,"LongShort 22","supp","short","carbohydrates","carbs","longfirst",1,2.852517e-06,4.69424e-07,2.383093e-06,4,1,3,5,13,8,1,0,1
"23",23,"LongShort 16","neut","long","telephone","phone","shortfirst",1,2.258073e-05,5.122335e-05,-2.864262e-05,3,1,2,5,9,4,3,4,-1
"24",24,"LongShort 19","neut","long","kilogram","kilo","longfirst",1,9.124634e-07,4.576148e-07,4.548486e-07,3,2,1,4,8,4,1,1,0
"25",25,"LongShort 21","supp","long","television","TV","shortfirst",1,3.935501e-05,2.830579e-05,1.104922e-05,4,2,2,2,10,8,3,2,1
"26",26,"LongShort 2","supp","short","bicycle","bike","shortfirst",1,4.300801e-06,5.626267e-06,-1.325466e-06,3,1,2,4,7,3,2,3,-1
"27",27,"LongShort 7","supp","short","fraternity","frat","shortfirst",1,2.587675e-06,2.425691e-07,2.3451059e-06,4,1,3,4,10,6,2,1,1
"28",28,"LongShort 30","supp","short","identification","ID","shortfirst",1,2.959364e-05,1.134854e-05,1.82451e-05,6,2,4,2,14,12,5,3,2
"29",29,"LongShort 29","neut","short","Labrador","Lab","shortfirst",1,1.356475e-06,3.402761e-06,-2.046286e-06,3,1,2,3,8,5,1,1,0
"30",30,"LongShort 26","supp","short","United Kingdom","U.K.","longfirst",1,1.246354e-05,2.885971e-06,9.577569e-06,5,2,3,4,14,10,0,1,-1
"31",31,"LongShort 8","neut","short","refrigerator","fridge","shortfirst",1,4.072069e-06,1.790544e-06,2.281525e-06,5,1,4,6,12,6,1,1,0
"32",32,"LongShort 32","supp","short","Coca-Cola","Coke","shortfirst",1,1.371962e-06,3.273994e-06,-1.902032e-06,4,1,3,4,9,5,0,4,-4
"33",33,"LongShort 24","neut","long","air conditioning","A/C","shortfirst",1,9.803362e-07,8.118417,-8.1184160196638,5,2,3,3,16,13,0,0,0
"34",34,"LongShort 17","neut","long","referee","ref","shortfirst",1,1.367426e-06,1.774963e-06,-4.07537e-07,3,1,2,3,7,4,5,1,4
"35",35,"LongShort 6","supp","short","photograph","photo","shortfirst",1,1.470013e-05,1.544812e-05,-7.4799e-07,3,2,1,5,10,5,3,1,2
